name,lat,lon,population,alternate_names
Berlin,52.52437,13.41053,3426354,"BER,Beirlin,Beirlín,Belin,Berleno,Berlien,Berliin,Berliini,Berlijn,Berlim,Berlin,Berline,Berlini,Berlino,Berlyn,Berlynas,Berlëno,Berlín,Berlîn,Berlīne,Berolino,Berolinum,Birlinu,Bèrlîn,Estat de Berlin,Estat de Berlín,Perlin,bai lin,barlina,beleullin,berlini,berurin,bexrlin,brlyn,perlin,Βερολίνο,Берлин,Берлін,Бэрлін,Բեռլին,Պերլին,בערלין,ברלין,برلين,برلین,بېرلىن,ܒܪܠܝܢ,बर्लिन,বার্লিন,பெர்லின்,เบอร์ลิน,ბერლინი,ベルリン,柏林,베를린"
Hamburg,53.55073,9.99302,1845229,"Amborg,Ambourgo,Amburgo,Amburgu,Augusta Gambriviorum,Gamburg,HAM,HH,Hamboarch,Hamboerg,Hamboerj,Hamborg,Hambourg,Hamburch,Hamburg,Hamburga,Hamburgas,Hamburgo,Hamburgu,Hamburgum,Hamburk,Hamburq,Hambuurich,Hambörg,Hambörj,Hambùrk,Hambûrg,Hamepuka,Hammaburg [a. 832],Hampuri,Hanburgo,Khamburg,haimabaraga,haimbarga,ham bur k,hambuleukeu,hamburgi,hambwrg,hambwrgh,hambwrګ,han bao,han bao shi,hanburuku,haምberiግ,hemburga,hmbwrg,hyambarg,hyambarga,hʼambwrg,Ħamburg,Αμβούργο,Гамбург,Гамбурґ,Хамбург,Համբուրգ,האַמבורג,המבורג,هامبورغ,هامبورګ,هامبورگ,ہymbrg,ہیمبرگ,ܗܡܒܘܪܓ,हॅम्बुर्ग,हैम्बर्ग,হ্যাম্বার্গ,ਹੈਮਬਰਗ,ಹ್ಯಾಂಬರ್ಗ್,ฮัมบูร์ก,ჰამბურგი,ሃምበርግ,ハンブルク,汉堡,汉堡市,漢堡,함부르크"
Munich,48.13743,11.57549,1260391,"Lungsod ng Muenchen,Lungsod ng München,MUC,Minca,Minche,Minga,Minhen,Minhene,Minkhen,Miunchenas,Miwnix,Mjunkhen,Mnichov,Mnichow,Mníchov,Monachium,Monacho,Monaco de Baviera,Monaco di Baviera,Monaco e Baviera,Monacu,Monacu di Baviera,Monacum,Muenchen,Muenegh,Muenhen,Muenih,Munchen,Munhen,Munic,Munich,Munich ed Baviera,Munih,Munike,Munique,Munix,Munkeno,Munkhen,Munîh,Mynihu,Myunxen,Myunxén,Mònacu,Mùnich ëd Baviera,Múnic,Múnich,München,Münegh,Münhen,Münih,mi wnik,mi'unika,mi'unikha,miunkheni,miyunik,miyuniki,mu ni hei,mwinhen,mwnkh,mwnykh,mynkn,myunhen,myunik,myunikha,myunsena,mywnkh,mywnykh,Μόναχο,Минхен,Мюнхен,Мүнхен,Мүнхэн,Мӱнхен,Միւնիխ,Մյունխեն,מינכן,مونخ,مونیخ,ميونخ,ميونيخ,میونخ,म्युन्शेन,म्यूनिख,মিউনিখ,ਮਿਊਨਿਕ,மியூனிக்,ಮ್ಯೂನಿಕ್,มิวนิก,မြူးနစ်ချ်မြို့,მიუნხენი,ሚዩኒክ,ミュンヘン,慕尼黑,뮌헨"
Köln,50.93333,6.95,963395,"Augusta Ubiorum,CGN,Cologna,Cologne,Colonha,Colonia,Colonia Agrippina,Colonia Agrippinensis,Colonia Claudia Ara Agrippinensium,Colònia,Colônia,Cołogna,Culonia,Cwlen,K'oln,Kel'n,Keln,Kelnas,Kelne,Kelni,Keulen,Kiolns,Kjol'n,Koelle,Koeln,Kol'n,Kolin nad Rynem,Kolin nad Rynom,Koloin,Kolon,Kolonia,Kolonjo,Kolín nad Rýnem,Kolín nad Rýnom,Kyoln,Këlni,Kölle,Köln,Lungsod ng Cologne,Oppidum Ubiorum,gu long,kalana,kalon,ke long,kerun,kholoy,kln,klwn,koelleun,koln,kolon,kwln,kwlwn,kwlwnya,kyolna,qln,qlwnyt,quluniat,Ķelne,Κολωνία,Келн,Кельн,Кьолн,Кёльн,Кӧльн,Көлн,Քյոլն,קלן,קעלן,قلونية,قُلُونِيَة,كولن,كولونيا,کلن,کلون,کولون,क्योल्न,ਕਲਨ,கோல்ன்,కొలోన్,ಕಲೋನ್,โคโลญ,კელნი,ኮልን,ケルン,古龍,科隆,쾰른"
Frankfurt am Main,50.11552,8.68417,650000,"FFM,FRA,Francfort,Francfort - Frankfurt am Main,Francfort d'o Meno,Francfort del Meno,Francfort sul Main,Francfort-sur-le-Main,Francfòrt sul Main,Franckfurt,Francoforte,Francoforte sul Meno,Francofurtum ad Moenum,Francuforti supro Menu,Francuforti suprô Menu,Frankfet,Frankford-on-Main,Frankfort,Frankfort an'n Main,Frankfort an’n Main,Frankfort on the Main,Frankfurt,Frankfurt am Main,Frankfurt del Main,Frankfurt na Majn,Frankfurt na Majni,Frankfurt nad Menem,Frankfurt nad Mohanem,Frankfurt nad Mohanom,Frankfurt-na-Majne,Frankfurt/Main,Frankfurtas prie Maino,Frankfurte pie Mainas,Frankfurto ce Majno,Frankfurto ĉe Majno,Fráncfort,Fráncfort d'o Meno,Fráncfort del Meno,Phran'kphourte,fa lan ke fu,frankfwrt,peulangkeupuleuteu,phryankapharta,prnqpwrt,Φρανκφούρτη,Франкфурт,Франкфурт на Майн,Франкфурт на Мајни,Франкфурт-на-Майне,פרנקפורט,فرانكفورت,فرانکفورت,ফ্র্যাংকফার্ট,แฟรงค์เฟิร์ต,ფრანკფურტ-ამ-მაინი,フランクフルト・アム・マイン,法兰克福,法蘭克福,프랑크푸르트"
Stuttgart,48.78232,9.17702,630305,"Estugarda,STR,Shhutgart,Shtutgart,Shtutgarti,Shtuttgart,Stocarda,Stoccarda,Stoutnkarde,Stucarda,Stuggart,Stutgardia,Stutgartas,Stutgarte,Stutgarto,Stutqart,Stuttgart,ashtwtgart,ch tuthth kar th,icututkart,satutagarata,shtwtgart,shtwtghart,shutouttogaruto,si tu jia te,situtigariti,stutagarta,stwtgrt,syututeugaleuteu,sټwtګart,Ştutqart,Štutgartas,Štutgarte,Στουτγκάρδη,Штутгарт,Штуттгарт,Щутгарт,שטוטגארט,שטוטגרט,اشتوتگارت,سٹٹگارٹ,سټوتګارت,شتوتغارت,شتوتگارت,شٹوٹگارٹ,श्टुटगार्ट,স্টুটগার্ট,ਸ਼ਟੁਟਗਾਰਟ,સ્ટુટગાર્ટ,இசுடுட்கார்ட்,സ്റ്റുട്ട്ഗാർട്ട്,ชตุทท์การ์ท,შტუტგარტი,ስቱትጋርት,シュトゥットガルト,斯图加特,슈투트가르트"
Düsseldorf,51.22319,6.77927,620523,"DUS,Diseldorf,Diseldorfa,Disseldorf,Diuseldorfas,Djuseldorf,Djussel'dorf,Duesseldoerp,Duesseldorf,Duessldorf,Duseldorfo,Dusseldoerp,Dusseldorf,Dusseldorpium,Dusseldörp,Dyuseldorf,Dyzeldorfi,Dzjusel'dorf,Düsseldorf,Düsseldörp,Düssldorf,Ntiselntorph,Ntysselntorf,dasaladorapha,daseladorfa,deyusserudorufu,diao su duo er fu,diuseldorpi,du sai er duo fu,dus se ld xrf,duseladarapha,dwiseldoleupeu,dwsldwrf,dysldwrp,dyuseladorpha,tiyucaltorhpu,Ντίσελντορφ,Ντύσσελντορφ,Дзюсельдорф,Диселдорф,Дюселдорф,Дюссельдорф,Дүсселдорф,Դյուսելդորֆ,דיסלדורף,دوسلدورف,دوسلدۆرف,ڈسلڈورف,ډsldwrf,ډسلدورف,डसेलडॉर्फ़,ड्युसेलडॉर्फ,ডুসেলডরফ,ਡਸਲਡੋਰਫ,தியூசல்டோர்ஃபு,ഡൂസൽഡോർഫ്,ดึสเซลดอร์ฟ,ဒပ်ဆဲလ်ဒေါ့ဖ်မြို့,დიუსელდორფი,ዲውስልዶርፍ,デュッセルドルフ,杜塞尔多夫,調素多爾夫,뒤셀도르프"
Essen,51.45657,7.01228,593085,"Asnithi,Assindia,ESS,Ehsehn,Ehssen,Esen,Esenas,Esene,Eseno,Esse,Essen,ai sen,aisana,asn,aysn,aysyn,ecan,esen,esena,eseni,essen,xes sein,Ésén,Έσσεν,Есен,Ессен,Эссен,Эсэн,Էսսեն,אסן,أسن,إسن,إيسن,اسن,ايسن,ایسن,ایسین,एसेन,এসেন,ਐੱਸਨ,எசன்,เอสเซิน,ესენი,エッセン,埃森,에센"
Dortmund,51.51494,7.466,588462,"DTM,Dortmund,Dortmundas,Dortmunde,Dortmundi,Dortmundo,Dueoerpm,Düörpm,Ntortmount,Throtmenni,Tremonia,d xr thmund,doleuteumunteu,dortamunda,dorutomunto,duo te meng de,dwrtmwnd,Ντόρτμουντ,Дортмунд,דורטמונד,دورتموند,دۆرتمۆند,ڈارٹمنڈ,डॉर्टमुंड,ดอร์ทมุนด์,დორტმუნდი,ドルトムント,多特蒙德,도르트문트"
Dresden,51.05089,13.73832,556227,"DRS,Drazdany,Drazgany,Drehzdehn,Dresda,Dresde,Dresden,Dresdenas,Dresdeno,Dresdn,Drezda,Drezden,Drezdene,Drezno,Drjezdzany,Drježdźany,Drážďany,Drèsda,Drézdén,Drēzdene,de lei si dun,de rs dein,deuleseuden,diresideni,doresuden,dresadana,dresadena,dresdena,drezdeni,drsdn,drysdn,drzdn,drێsdn,Δρέσδη,Дрезден,Дрэздэн,Դրեզդեն,דרזדן,דרעזדן,درسدن,دريسدن,دریسدن,درێسدن,ڈrysڈn,ڈریسڈن,ډrysډn,ډریسډن,ڊrysڊn,ڊريسڊن,ड्रेसडन,ड्रेस्डेन,ড্রেসডেন,ਡ੍ਰੇਸਡਨ,เดรสเดิน,დრეზდენი,ድሬስደን,ドレスデン,德累斯顿,드레스덴"
